case_id,WT,TC,ET,RC,mean_wt_tc_et,dice_1_netc,dice_2_snf_h,dice_3_et,dice_4_rc
BraTS-GLI-02365-100,0.9777222346202484,0.9906386725736771,0.9803669341223007,0.0,0.9829092804387422,0.9793625595310783,0.9560406814795621,0.9803669341223007,0.0
BraTS-GLI-02380-100,0.753747453095294,0.6802540753619197,0.946057493881077,0.3062889290737392,0.7933530074460969,0.0,0.8028675774381171,0.946057493881077,0.3062889290737392
BraTS-GLI-02403-100,0.9721584844674332,0.9403479435315304,0.9432220741655563,0.912954411305163,0.9519095007215066,0.43597560975609756,0.9739219846002021,0.9432220741655563,0.912954411305163
BraTS-GLI-02498-100,0.9507065669160433,0.8696492595479345,0.972091800323029,0.0,0.9308158755956689,0.3118121790168745,0.9804722200576639,0.972091800323029,0.0
BraTS-GLI-02498-101,0.9798761168041561,0.3925549915397631,0.3925549915397631,0.9663633164060536,0.5883286999612274,1.0,0.9783375314861461,0.3925549915397631,0.9663633164060536
BraTS-GLI-02498-102,0.9814293847751097,0.9272522884213907,0.9315235008103727,0.9081573112381841,0.946735058002291,0.8582494190549961,0.9778551175259917,0.9315235008103727,0.9081573112381841
BraTS-GLI-02520-100,0.8758999241849886,0.5620792079207921,0.8752192725996959,0.0,0.7710661349018256,0.0,0.9450893753765817,0.8752192725996959,0.0
BraTS-GLI-02520-101,0.9270002413014307,0.7983618434051624,0.9272230777779542,0.0005520858493495739,0.8841950541615157,0.1820529688375606,0.9697134167510134,0.9272230777779542,0.0005520858493495739
BraTS-GLI-02520-102,0.9584343472654175,0.8912780751181077,0.9270918625111061,0.8654233779440339,0.9256014282982105,0.29182509505703425,0.9667948033190151,0.9270918625111061,0.8654233779440339
BraTS-GLI-02520-103,0.9464760661627964,0.8804849884526559,0.8806120975891439,0.9558547598919566,0.9025243840681988,0.0,0.9446112311811697,0.8806120975891439,0.9558547598919566
BraTS-GLI-02520-104,0.960699865410498,0.9006923409779316,0.897462482946794,0.9829985289507319,0.9196182297784078,0.0,0.957685652382545,0.897462482946794,0.9829985289507319
BraTS-GLI-02553-100,0.9016569582544263,0.6953820855981364,0.8444444444444444,0.13005534269902086,0.8138278294323357,0.27687868523397313,0.939276206244532,0.8444444444444444,0.13005534269902086
BraTS-GLI-02553-101,0.9029815797689666,0.890327263928377,0.9364381554242799,0.9378774922974605,0.9099156663738746,0.2513938165230613,0.8900062378315029,0.9364381554242799,0.9378774922974605
